Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT005,2,Audio,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,3,BFile,
LOGDT027,4,BIGINT,
LOGDT033,5,BINARY,
LOGDT056,6,BINARY DOUBLE,
LOGDT055,7,BINARY FLOAT,
LOGDT034,8,BIT,
LOGDT029,9,BLOB,
LOGDT006,10,Boolean,
LOGDT025,11,CHAR,
LOGDT028,12,CLOB,
LOGDT030,13,DATALINK,
LOGDT054,14,DBURIType,
LOGDT026,15,DECIMAL,
LOGDT020,16,DOUBLE,
LOGDT007,17,Date,
LOGDT008,18,Datetime,
LOGDT021,19,FLOAT,
LOGDT031,20,GRAPHIC,
LOGDT052,21,HTTPURIType,
LOGDT049,22,INTERVAL DAY TO SECOND,
LOGDT048,23,INTERVAL YEAR TO MONTH,
LOGDT010,24,Image,
LOGDT011,25,Integer,
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,26,Long Char,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,27,Long_Raw,
LOGDT043,28,MONEY,
LOGDT035,29,NCHAR,
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,30,NClob,
LOGDT036,31,NTEXT,
LOGDT019,32,NUMERIC,
LOGDT037,33,NVARCHAR,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,34,ORDAUDIO,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,35,ORDDOC,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,36,ORDIMAGE,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,37,ORDIMAGE_SIGNATURE,
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,38,ORDVIDEO,
LOGDT022,39,REAL,
LOGDT032,40,ROWID,
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,41,Raw,
LOGDT038,42,SMALLDATETIME,
LOGDT018,43,SMALLINT,
LOGDT044,44,SMALLMONEY,
LOGDT045,45,SQL_VARIANT,
LOGDT039,46,SYSNAME,
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,47,SYS_ANYDATA,
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,48,SYS_ANYDATASET,
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,49,SYS_ANYTYPE,
LOGDT040,50,TEXT,
LOGDT047,51,TIMESTAMP WITH LOCAL TIME ZONE,
LOGDT046,52,TIMESTAMP WITH TIME ZONE,
LOGDT042,53,TINYINT,
LOGDT014,54,Time,
LOGDT015,55,Timestamp,
LOGDT057,56,UNIQUEIDENTIFIER,
LOGDT051,57,URIType,
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,58,URowID,
LOGDT041,59,VARBINARY,
LOGDT024,60,VARCHAR,
LOGDT023,61,VARGRAPHIC,
LOGDT016,62,Video,
LOGDT053,63,XDBURIType,
LOGDT050,64,XMLType,
LOGDT017,65,unknown,
